"","Watershed","Site.ID","Date","Observer","Start.Time","End.time","Spp","snow","Mode","Water","Wetland","Built","UpGrass","Shrub","Forest","Temp","cloudcover","Precip","TTD","YMax","Day","BStrm","BFresh","BSwamp","BImp","BSalt","BForest","km"
"26","Pawtuxet",15,"2022-02-01","John Crockett","2022-02-01 11:46:00","2022-02-01 12:06:00",NA,"Y","foot",0,0,0,0,0,1,-5.8,77,0,NA,20,31,0,0.580388154254042,0,17.1260083970408,0,0,2294
"27","Pawtuxet",15,"2022-07-11","John Crockett","2022-07-11 11:02:00","2022-07-11 11:09:00",NA,"N","kayak",0.857142857142857,0,0,0,0,0.142857142857143,24.2,1,0,NA,7,191,0,0.580388154254042,0,17.1260083970408,0,0,2294
"28","Pawtuxet",15,"2022-07-11","Jess Burr","2022-07-11 11:02:00","2022-07-11 11:06:00",NA,"N","kayak",0.75,0,0,0,0,0.25,24.2,1,0,NA,4,191,0,0.580388154254042,0,17.1260083970408,0,0,2294
"29","Pawtuxet",17,"2022-01-10","Justin Moore","2022-01-10 10:02:00","2022-01-10 11:09:00",NA,"Y","foot",0.283582089552239,0,0,0,0,0.716417910447761,-2.5,1,0.6,NA,67,9,2,38.4087097036162,1.21555764601231,0,0,1.75337659640038,2592
"32","Pawtuxet",17,"2022-01-10","John Crockett","2022-01-10 09:57:00","2022-01-10 11:09:00",NA,"Y","foot",0.388888888888889,0,0,0,0,0.611111111111111,-2.5,1,0.6,NA,72,9,2,38.4087097036162,1.21555764601231,0,0,1.75337659640038,2592
"35","Pawtuxet",17,"2022-06-24","Jess Burr","2022-06-24 09:53:00","2022-06-24 10:48:00",NA,"N","foot",0.381818181818182,0,0,0,0,0.618181818181818,19.8,30,0.3,NA,55,174,2,38.4087097036162,1.21555764601231,0,0,1.75337659640038,2592
"38","Pawtuxet",17,"2022-06-24","John Crockett","2022-06-24 09:56:00","2022-06-24 10:47:00",NA,"N","foot",0.647058823529412,0,0,0,0,0.352941176470588,19.8,30,0.3,NA,51,174,2,38.4087097036162,1.21555764601231,0,0,1.75337659640038,2592
"40","Pawtuxet",18,"2022-01-19","Justin Moore","2022-01-19 11:47:00","2022-01-19 12:21:00",NA,"N","foot",0,0,0,0,0,1,4,16,0,NA,34,18,0,0,0,0,0,10.8796724688606,2495
"41","Pawtuxet",18,"2022-01-19","John Crockett","2022-01-19 11:44:00","2022-01-19 12:15:00",NA,"N","foot",0,0,0,0,0,1,4,16,0,NA,31,18,0,0,0,0,0,10.8796724688606,2495
"42","Pawtuxet",19,"2022-01-19","Justin Moore","2022-01-19 10:34:00","2022-01-19 11:03:00",NA,"N","foot",0,0,0,0,0,1,1.6,70,0,NA,29,18,0,0,0,1.40221136055241,0,22.836614471951,2591
"43","Pawtuxet",19,"2022-01-19","John Crockett","2022-01-19 10:33:00","2022-01-19 10:59:00",NA,"N","foot",0,0,0,0,0,1,1.6,70,0,NA,26,18,0,0,0,1.40221136055241,0,22.836614471951,2591
"44","Pawtuxet",20,"2022-01-10","Justin Moore","2022-01-10 11:30:00","2022-01-10 11:47:00",NA,"Y","foot",0.117647058823529,0,0,0,0,0.882352941176471,-2.3,100,0.6,NA,17,9,0,55.9804636863356,0,0,0,0,2690
"46","Pawtuxet",20,"2022-01-10","John Crockett","2022-01-10 11:31:00","2022-01-10 11:46:00",NA,"Y","foot",0.2,0,0,0,0,0.8,-2.3,100,0.6,NA,15,9,0,55.9804636863356,0,0,0,0,2690
"47","Pawtuxet",20,"2022-06-24","Jess Burr","2022-06-24 11:05:00","2022-06-24 11:20:00",NA,"N","foot",0.2,0,0,0,0,0.8,21.5,21,0.3,NA,15,174,0,55.9804636863356,0,0,0,0,2690
"48","Pawtuxet",20,"2022-06-24","John Crockett","2022-06-24 11:05:00","2022-06-24 11:20:00",NA,"N","foot",0.133333333333333,0,0,0,0,0.866666666666667,21.5,21,0.3,NA,15,174,0,55.9804636863356,0,0,0,0,2690
"50","Pawtuxet",22,"2022-03-07","Justin Moore","2022-03-07 11:38:00","2022-03-07 11:59:00",NA,"N","kayak",0.952380952380952,0,0.0476190476190476,0,0,0,9.6,82,3.8,NA,21,65,0,12.4750407141933,0,11.0205438471252,0,0,2391
"51","Pawtuxet",22,"2022-03-07","John Crockett","2022-03-07 11:46:00","2022-03-07 12:00:00",NA,"N","kayak",1,0,0,0,0,0,9.6,82,3.8,NA,14,65,0,12.4750407141933,0,11.0205438471252,0,0,2391
"52","Pawtuxet",22,"2022-07-11","John Crockett","2022-07-11 11:53:00","2022-07-11 12:07:00",NA,"N","kayak",0.928571428571429,0,0.0714285714285714,0,0,0,25.7,4,0,NA,14,191,0,12.4750407141933,0,11.0205438471252,0,0,2391
"53","Pawtuxet",22,"2022-07-11","Jess Burr","2022-07-11 11:53:00","2022-07-11 12:07:00",NA,"N","kayak",1,0,0,0,0,0,25.7,4,0,NA,14,191,0,12.4750407141933,0,11.0205438471252,0,0,2391
"54","Pawtuxet",28,"2022-04-14","Justin Moore","2022-04-14 13:28:00","2022-04-14 13:48:00",NA,"N","foot",0.4,0,0,0,0,0.6,21.3,38,0.7,NA,20,103,1,24.0663175558634,0,0,0,3.53479943678329,2281
"55","Pawtuxet",28,"2022-04-14","John Crockett","2022-04-14 13:25:00","2022-04-14 13:49:00","Otter","N","foot",0.208333333333333,0,0,0,0,0.791666666666667,21.3,38,0.7,6,24,103,1,24.0663175558634,0,0,0,3.53479943678329,2281
"56","Pawtuxet",28,"2022-08-08","John Crockett","2022-08-08 13:00:00","2022-08-08 13:18:00",NA,"N","kayak",0.944444444444444,0,0,0,0,0.0555555555555556,32.4,26,1.3,NA,18,219,1,24.0663175558634,0,0,0,3.53479943678329,2281
"57","Pawtuxet",28,"2022-08-08","Jess Burr","2022-08-08 13:05:00","2022-08-08 13:20:00",NA,"N","kayak",1,0,0,0,0,0,32.4,26,1.3,NA,15,219,1,24.0663175558634,0,0,0,3.53479943678329,2281
"59","Pawtuxet",29,"2022-04-14","Justin Moore","2022-04-14 13:49:00","2022-04-14 14:11:00",NA,"N","foot",0.318181818181818,0,0,0,0,0.681818181818182,23.2,29,0.7,NA,22,103,1,15.8844003062988,0,0,0,0.699838393425863,2281
"61","Pawtuxet",29,"2022-04-14","John Crockett","2022-04-14 13:50:00","2022-04-14 14:10:00",NA,"N","foot",0.3,0,0,0,0,0.7,23.2,29,0.7,NA,20,103,1,15.8844003062988,0,0,0,0.699838393425863,2281
"64","Pawtuxet",29,"2022-08-08","John Crockett","2022-08-08 13:19:00","2022-08-08 13:37:00",NA,"N","kayak",0.944444444444444,0,0,0,0,0.0555555555555556,32.4,26,1.3,NA,18,219,1,15.8844003062988,0,0,0,0.699838393425863,2281
"65","Pawtuxet",29,"2022-08-08","Jess Burr","2022-08-08 13:19:00","2022-08-08 13:40:00",NA,"N","kayak",1,0,0,0,0,0,32.4,26,1.3,NA,21,219,1,15.8844003062988,0,0,0,0.699838393425863,2281
"66","Pawtuxet",33,"2022-04-21","Justin Moore","2022-04-21 09:59:00","2022-04-21 10:35:00",NA,"N","kayak",0.472222222222222,0,0,0,0,0.527777777777778,9.9,26,0.5,NA,36,110,0,83.6288330958617,0,0,0,0,1594
"68","Pawtuxet",33,"2022-04-21","John Crockett","2022-04-21 09:59:00","2022-04-21 10:35:00",NA,"N","kayak",0.416666666666667,0,0,0,0,0.583333333333333,9.9,26,0.5,NA,36,110,0,83.6288330958617,0,0,0,0,1594
"70","Pawtuxet",33,"2022-08-10","John Crockett","2022-08-10 10:44:00","2022-08-10 11:10:00",NA,"N","kayak",0.538461538461538,0,0,0,0,0.461538461538462,21.4,100,1.1,NA,26,221,0,83.6288330958617,0,0,0,0,1594
"71","Pawtuxet",33,"2022-08-10","Jess Burr","2022-08-10 10:44:00","2022-08-10 11:07:00",NA,"N","kayak",0.565217391304348,0,0,0,0,0.434782608695652,21.4,100,1.1,NA,23,221,0,83.6288330958617,0,0,0,0,1594
"73","Pawtuxet",34,"2022-04-21","Justin Moore","2022-04-21 10:36:00","2022-04-21 11:04:00",NA,"N","kayak",0.928571428571429,0,0,0,0,0.0714285714285714,11.9,24,0.5,NA,28,110,0,37.2336983529741,0,0,0,0,1594
"74","Pawtuxet",34,"2022-04-21","John Crockett","2022-04-21 10:43:00","2022-04-21 11:04:00",NA,"N","kayak",1,0,0,0,0,0,11.9,24,0.5,NA,21,110,0,37.2336983529741,0,0,0,0,1594
"76","Pawtuxet",34,"2022-08-10","John Crockett","2022-08-10 11:15:00","2022-08-10 11:34:00",NA,"N","kayak",1,0,0,0,0,0,21.4,100,1.1,NA,19,221,0,37.2336983529741,0,0,0,0,1594
"77","Pawtuxet",34,"2022-08-10","Jess Burr","2022-08-10 11:12:00","2022-08-10 11:33:00",NA,"N","kayak",1,0,0,0,0,0,21.4,100,1.1,NA,21,221,0,37.2336983529741,0,0,0,0,1594
"78","Pawtuxet",70,"2022-04-20","John Crockett","2022-04-20 10:16:00","2022-04-20 11:07:00",NA,"N","kayak",0.725490196078431,0,0,0,0,0.274509803921569,6.4,16,0,NA,51,109,4,70.8578328146069,0,6.84951505368313,0,0,2275
"80","Pawtuxet",70,"2022-04-20","Justin Moore","2022-04-20 10:17:00","2022-04-20 11:06:00",NA,"N","kayak",0.86,0,0,0,0,0.14,6.4,16,0,NA,49,109,4,70.8578328146069,0,6.84951505368313,0,0,2275
"82","Pawtuxet",70,"2022-08-09","John Crockett","2022-08-09 10:08:00","2022-08-09 10:46:00",NA,"N","kayak",0.763157894736842,0,0,0,0,0.236842105263158,28.9,20,6.3,NA,38,220,4,70.8578328146069,0,6.84951505368313,0,0,2275
"84","Pawtuxet",70,"2022-08-09","Jess Burr","2022-08-09 10:07:00","2022-08-09 10:50:00",NA,"N","kayak",0.883720930232558,0,0,0,0,0.116279069767442,28.9,20,6.3,NA,43,220,4,70.8578328146069,0,6.84951505368313,0,0,2275
"86","Pawtuxet",73,"2022-02-10","Justin Moore","2022-02-10 12:49:00","2022-02-10 13:03:00",NA,"N","foot",0,0,0,0,0,1,8.9,43,0,NA,14,40,1,0,0,0.90847893894769,0,18.3006106901071,2863
"87","Pawtuxet",73,"2022-02-10","John Crockett","2022-02-10 12:49:00","2022-02-10 13:03:00",NA,"N","foot",0,0,0,0,0,1,8.6,35,0,NA,14,40,1,0,0,0.90847893894769,0,18.3006106901071,2863
"88","Pawtuxet",75,"2022-04-20","John Crockett","2022-04-20 12:37:00","2022-04-20 12:50:00",NA,"N","kayak",0.461538461538462,0,0,0,0,0.538461538461538,10.1,64,0,NA,13,109,0,6.26925244555347,0,1.61900951842921,0,0,2569
"89","Pawtuxet",75,"2022-04-20","Justin Moore","2022-04-20 12:38:00","2022-04-20 12:50:00",NA,"N","kayak",1,0,0,0,0,0,10.1,64,0,NA,12,109,0,6.26925244555347,0,1.61900951842921,0,0,2569
"90","Pawtuxet",75,"2022-08-09","John Crockett","2022-08-09 12:08:00","2022-08-09 12:23:00","Otter","N","kayak",0.733333333333333,0,0,0,0,0.266666666666667,32.5,50,6.3,9,15,220,0,6.26925244555347,0,1.61900951842921,0,0,2569
"91","Pawtuxet",75,"2022-08-09","Jess Burr","2022-08-09 12:07:00","2022-08-09 12:24:00",NA,"N","kayak",0.941176470588235,0,0,0,0,0.0588235294117647,32.5,50,6.3,NA,17,220,0,6.26925244555347,0,1.61900951842921,0,0,2569
"92","Pawtuxet",77,"2022-01-25","Justin Moore","2022-01-25 11:26:00","2022-01-25 12:02:00",NA,"N","foot",0,0,0.0540540540540541,0,0,0.945945945945946,4.2,39,1.1,NA,36,24,2,0,1.48591078659991,18.9098082780748,0,0,3461
"93","Pawtuxet",77,"2022-01-25","John Crockett","2022-01-25 11:34:00","2022-01-25 11:57:00",NA,"N","foot",0,0,0,0,0,1,3.9,29,1.3,NA,23,24,2,0,1.48591078659991,18.9098082780748,0,0,3461
"94","Pawtuxet",82,"2022-01-25","Justin Moore","2022-01-25 12:26:00","2022-01-25 12:44:00",NA,"N","foot",0.5,0,0,0,0,0.5,4.4,35,1.1,NA,18,24,2,21.2023519300168,0,1.23415588306822,0,0,3361
"95","Pawtuxet",82,"2022-01-25","John Crockett","2022-01-25 12:23:00","2022-01-25 12:46:00",NA,"Y","foot",0.391304347826087,0,0,0,0,0.608695652173913,3.9,29,1.3,NA,23,24,2,21.2023519300168,0,1.23415588306822,0,0,3361
"96","Pawtuxet",82,"2022-07-14","Jess Burr","2022-07-14 12:25:00","2022-07-14 12:54:00",NA,"N","foot",0.379310344827586,0,0,0,0,0.620689655172414,27,42,5.6,NA,29,194,2,21.2023519300168,0,1.23415588306822,0,0,3361
"97","Pawtuxet",82,"2022-07-14","John Crockett","2022-07-14 12:23:00","2022-07-14 12:51:00",NA,"N","foot",0.428571428571429,0,0,0,0,0.571428571428571,27,42,5.6,NA,28,194,2,21.2023519300168,0,1.23415588306822,0,0,3361
"98","Pawtuxet",84,"2022-01-25","Justin Moore","2022-01-25 10:16:00","2022-01-25 11:01:00",NA,"N","foot",0.222222222222222,0,0,0,0,0.777777777777778,3.6,35,1.1,NA,45,24,0,29.2895726229365,0,0,0,0,3947
"99","Pawtuxet",84,"2022-01-25","John Crockett","2022-01-25 10:10:00","2022-01-25 10:44:00",NA,"Y","foot",0.181818181818182,0,0.151515151515152,0,0,0.666666666666667,1.5,17,1.3,NA,34,24,0,29.2895726229365,0,0,0,0,3947
"100","Pawtuxet",84,"2022-07-14","Jess Burr","2022-07-14 11:00:00","2022-07-14 11:20:00",NA,"N","foot",0.05,0,0.2,0,0,0.75,25.7,55,5.6,NA,20,194,0,29.2895726229365,0,0,0,0,3947
"101","Pawtuxet",84,"2022-07-14","John Crockett","2022-07-14 11:01:00","2022-07-14 11:18:00",NA,"N","foot",0.0588235294117647,0,0.0588235294117647,0,0,0.882352941176471,25.8,55,5.6,NA,17,194,0,29.2895726229365,0,0,0,0,3947
"102","Pawtuxet",89,"2022-03-07","Justin Moore","2022-03-07 11:25:00","2022-03-07 11:40:00",NA,"N","kayak",1,0,0,0,0,0,9.5,71,3.8,NA,15,65,0,45.9876151002805,0,18.0754365262395,0,0,2293
"103","Pawtuxet",89,"2022-03-07","John Crockett","2022-03-07 11:24:00","2022-03-07 11:38:00","Otter","N","kayak",1,0,0,0,0,0,9.5,71,3.8,6,14,65,0,45.9876151002805,0,18.0754365262395,0,0,2293
"104","Pawtuxet",89,"2022-07-11","John Crockett","2022-07-11 11:23:00","2022-07-11 11:47:00",NA,"N","kayak",0.875,0,0,0,0,0.125,24.2,1,0,NA,24,191,0,45.9876151002805,0,18.0754365262395,0,0,2293
"105","Pawtuxet",89,"2022-07-11","Jess Burr","2022-07-11 11:21:00","2022-07-11 11:45:00",NA,"N","kayak",0.916666666666667,0,0,0,0,0.0833333333333333,24.2,1,0,NA,24,191,0,45.9876151002805,0,18.0754365262395,0,0,2293
"106","Pawtuxet",90,"2022-03-01","Justin Moore","2022-03-01 11:09:00","2022-03-01 11:31:00",NA,"N","kayak",0.954545454545455,0,0.0454545454545455,0,0,0,-1.1,31,1.2,NA,22,59,0,14.9387552503416,0,42.7224704174,0,0,3171
"108","Pawtuxet",90,"2022-03-01","John Crockett","2022-03-01 11:09:00","2022-03-01 11:31:00",NA,"N","kayak",0.863636363636364,0,0,0,0,0.136363636363636,-1.1,31,1.2,NA,22,59,0,14.9387552503416,0,42.7224704174,0,0,3171
"109","Pawtuxet",90,"2022-07-08","John Crockett","2022-07-08 12:13:00","2022-07-08 12:31:00",NA,"N","kayak",0.894736842105263,0,0,0,0,0.105263157894737,24.6,58,0,NA,18,188,0,14.9387552503416,0,42.7224704174,0,0,3171
"110","Pawtuxet",90,"2022-07-08","Jess Burr","2022-07-08 12:12:00","2022-07-08 12:31:00",NA,"N","kayak",1,0,0,0,0,0,24.6,58,0,NA,19,188,0,14.9387552503416,0,42.7224704174,0,0,3171
"111","Pawtuxet",91,"2022-03-28","Justin Moore","2022-03-28 10:14:00","2022-03-28 10:39:00",NA,"N","foot",0.56,0,0,0,0,0.44,-2.9,93,0,NA,25,86,1,6.62311870178685,0,0,0,0,2778
"113","Pawtuxet",91,"2022-03-28","John Crockett","2022-03-28 10:14:00","2022-03-28 10:39:00",NA,"N","foot",0.24,0,0,0,0,0.76,-2.9,93,0,NA,25,86,1,6.62311870178685,0,0,0,0,2778
"115","Pawtuxet",91,"2022-07-04","Jess Burr","2022-07-04 10:21:00","2022-07-04 10:43:00","Otter","N","foot",0.863636363636364,0,0,0,0,0.136363636363636,23,0,0,8,22,184,1,6.62311870178685,0,0,0,0,2778
"117","Pawtuxet",91,"2022-07-04","John Crockett","2022-07-04 10:22:00","2022-07-04 10:43:00",NA,"N","foot",0.857142857142857,0,0,0,0,0.142857142857143,23,0,0,NA,21,184,1,6.62311870178685,0,0,0,0,2778
"118","Pawtuxet",92,"2022-04-14","Justin Moore","2022-04-14 10:36:00","2022-04-14 11:05:00",NA,"N","kayak",1,0,0,0,0,0,16.6,67,0.7,NA,29,103,0,31.2947029190775,0,0,0,0,1987
"119","Pawtuxet",92,"2022-04-14","John Crockett","2022-04-14 10:36:00","2022-04-14 11:04:00",NA,"N","kayak",1,0,0,0,0,0,16.6,67,0.7,NA,28,103,0,31.2947029190775,0,0,0,0,1987
"120","Pawtuxet",92,"2022-08-08","John Crockett","2022-08-08 10:16:00","2022-08-08 10:32:00",NA,"N","kayak",1,0,0,0,0,0,28.1,39,1.3,NA,16,219,0,31.2947029190775,0,0,0,0,1987
"121","Pawtuxet",92,"2022-08-08","Jess Burr","2022-08-08 10:20:00","2022-08-08 10:35:00",NA,"N","kayak",1,0,0,0,0,0,28.1,39,1.3,NA,15,219,0,31.2947029190775,0,0,0,0,1987
"122","Pawtuxet",93,"2022-04-14","Justin Moore","2022-04-14 11:18:00","2022-04-14 11:32:00",NA,"N","kayak",0.928571428571429,0,0,0,0,0.0714285714285714,16.6,67,0.7,NA,14,103,0,14.4518214503684,0,0,0,0,2085
"123","Pawtuxet",93,"2022-04-14","John Crockett","2022-04-14 11:16:00","2022-04-14 11:32:00",NA,"N","kayak",1,0,0,0,0,0,16.6,67,0.7,NA,16,103,0,14.4518214503684,0,0,0,0,2085
"124","Pawtuxet",93,"2022-08-08","John Crockett","2022-08-08 10:45:00","2022-08-08 10:59:00",NA,"N","kayak",1,0,0,0,0,0,30.1,38,1.3,NA,14,219,0,14.4518214503684,0,0,0,0,2085
"125","Pawtuxet",93,"2022-08-08","Jess Burr","2022-08-08 10:52:00","2022-08-08 11:03:00",NA,"N","kayak",1,0,0,0,0,0,30.1,38,1.3,NA,11,219,0,14.4518214503684,0,0,0,0,2085
"126","Pawtuxet",94,"2022-04-14","Justin Moore","2022-04-14 11:47:00","2022-04-14 12:01:00",NA,"N","kayak",0.857142857142857,0,0,0,0,0.142857142857143,19.2,51,0.7,NA,14,103,0,92.1019016792117,0,0,0,0,2086
"127","Pawtuxet",94,"2022-04-14","John Crockett","2022-04-14 11:46:00","2022-04-14 12:03:00","Otter","N","kayak",0.647058823529412,0,0,0,0,0.352941176470588,19.2,51,0.7,12,17,103,0,92.1019016792117,0,0,0,0,2086
"128","Pawtuxet",94,"2022-08-08","John Crockett","2022-08-08 11:14:00","2022-08-08 11:31:00",NA,"N","kayak",1,0,0,0,0,0,30.1,38,1.3,NA,17,219,0,92.1019016792117,0,0,0,0,2086
"129","Pawtuxet",94,"2022-08-08","Jess Burr","2022-08-08 11:17:00","2022-08-08 11:34:00",NA,"N","kayak",0.941176470588235,0,0,0,0,0.0588235294117647,30.1,38,1.3,NA,17,219,0,92.1019016792117,0,0,0,0,2086
"130","Pawtuxet",95,"2022-04-14","Justin Moore","2022-04-14 12:19:00","2022-04-14 12:40:00",NA,"N","kayak",0.619047619047619,0,0,0,0,0.380952380952381,19.2,51,0.7,NA,21,103,0,40.1336892062392,0,0,0,0,2184
"132","Pawtuxet",95,"2022-04-14","John Crockett","2022-04-14 12:18:00","2022-04-14 12:40:00",NA,"N","kayak",0.5,0,0,0,0,0.5,19.2,51,0.7,NA,22,103,0,40.1336892062392,0,0,0,0,2184
"133","Pawtuxet",95,"2022-08-08","John Crockett","2022-08-08 11:45:00","2022-08-08 12:02:00",NA,"N","kayak",1,0,0,0,0,0,31.7,25,1.3,NA,17,219,0,40.1336892062392,0,0,0,0,2184
"134","Pawtuxet",95,"2022-08-08","Jess Burr","2022-08-08 11:49:00","2022-08-08 12:04:00",NA,"N","kayak",1,0,0,0,0,0,31.7,25,1.3,NA,15,219,0,40.1336892062392,0,0,0,0,2184
"135","Pawtuxet",99,"2022-01-27","Justin Moore","2022-01-27 11:05:00","2022-01-27 11:23:00",NA,"N","kayak",1,0,0,0,0,0,-9,0,0,NA,18,26,0,19.1236645384985,0,61.1042488444582,0,0,3366
"137","Pawtuxet",99,"2022-01-27","John Crockett","2022-01-27 11:03:00","2022-01-27 11:28:00",NA,"N","kayak",1,0,0,0,0,0,-9,0,0,NA,25,26,0,19.1236645384985,0,61.1042488444582,0,0,3366
"139","Pawtuxet",99,"2022-07-08","John Crockett","2022-07-08 14:01:00","2022-07-08 14:30:00",NA,"N","kayak",0.931034482758621,0,0.0344827586206897,0,0.0344827586206897,0,26.2,67,0,NA,29,188,0,19.1236645384985,0,61.1042488444582,0,0,3366
"141","Pawtuxet",99,"2022-07-08","Jess Burr","2022-07-08 14:01:00","2022-07-08 14:27:00",NA,"N","kayak",0.923076923076923,0,0.0769230769230769,0,0,0,26.2,67,0,NA,26,188,0,19.1236645384985,0,61.1042488444582,0,0,3366
"142","Pawtuxet",100,"2022-02-03","Justin Moore","2022-02-03 10:55:00","2022-02-03 11:24:00",NA,"Y","kayak",0.689655172413793,0,0,0,0,0.310344827586207,5.7,100,2.7,NA,29,33,0,3.69265722172023,0,18.7559702816703,0,39.2450464481146,3949
"145","Pawtuxet",100,"2022-02-03","John Crockett","2022-02-03 10:55:00","2022-02-03 11:24:00",NA,"Y","kayak",0.862068965517241,0,0,0,0,0.137931034482759,5.2,100,3.8,NA,29,33,0,3.69265722172023,0,18.7559702816703,0,39.2450464481146,3949
"149","Pawtuxet",100,"2022-07-05","Jess Burr","2022-07-05 10:30:00","2022-07-05 10:50:00","Otter","N","kayak",0.85,0,0,0,0,0.15,24.4,55,1.2,4,20,185,0,3.69265722172023,0,18.7559702816703,0,39.2450464481146,3949
"151","Pawtuxet",100,"2022-07-05","John Crockett","2022-07-05 10:31:00","2022-07-05 10:54:00",NA,"N","kayak",0.826086956521739,0,0,0,0,0.173913043478261,24.4,55,1.2,NA,23,185,0,3.69265722172023,0,18.7559702816703,0,39.2450464481146,3949
"155","Narragansett Bay",103,"2022-02-09","Justin Moore","2022-02-09 09:26:00","2022-02-09 09:35:00",NA,"N","foot",0,0,0,0,0.888888888888889,0,-1.8,0,0,NA,9,39,0,0,1.28622177313186,0,9.94209286660636,0,3691
"156","Narragansett Bay",103,"2022-02-09","John Crockett","2022-02-09 09:26:00","2022-02-09 09:34:00",NA,"N","foot",0,0,0,0,0.875,0,-1.8,0,0,NA,8,39,0,0,1.28622177313186,0,9.94209286660636,0,3691
"157","Narragansett Bay",107,"2022-01-13","Justin Moore","2022-01-13 10:35:00","2022-01-13 10:54:00",NA,"N","kayak",0,0.6875,0.3125,0,0,0,3.7,72,0,NA,19,12,0,0,0,9.31601826776816,8.87559985210595,0.347420691178623,3592
"158","Narragansett Bay",107,"2022-01-13","John Crockett","2022-01-13 10:36:00","2022-01-13 10:54:00",NA,"N","kayak",0,0.875,0,0,0,0.125,3.7,72,0,NA,18,12,0,0,0,9.31601826776816,8.87559985210595,0.347420691178623,3592
"159","Narragansett Bay",107,"2022-06-21","Jess Burr","2022-06-21 10:44:00","2022-06-21 10:57:00",NA,"N","kayak",0,0.5,0.166666666666667,0,0,0.333333333333333,20.2,37,0,NA,13,171,0,0,0,9.31601826776816,8.87559985210595,0.347420691178623,3592
"160","Narragansett Bay",107,"2022-06-21","John Crockett","2022-06-21 10:48:00","2022-06-21 11:03:00",NA,"N","kayak",0,0,0.5,0,0,0.5,20.2,37,0,NA,15,171,0,0,0,9.31601826776816,8.87559985210595,0.347420691178623,3592
